PPG PulseOx1, RIPResp1, Heart Rate PulseOx1, Temperature Sensor 1, RIPResp2, SpO2 PulseOx1, Pulse d(Trace)/dt, Pulse d2(Trace)/dt2, Pulse Rate (BPM), d(Pulse Rate)/dt (BPMPM), Pulse Interval (ms), Pulse RMSSD (ms), Pulse SDNN (BPM), Pulse P50 (%), Smoothed RIP Resp1, Smoothed RIP Resp2, Breathing Rate (BPM), d(Breathing Rate)/dt (BPMPM), Interval (s), Inspiration (%), d(Inspiration)/dt (%PM), Breathing RMSSD (s), Breathing SDNN (BPM)
82.30595,-0.016924046,61,23.966816,-0.010940038,98,-0.30273438,0.11720276,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016605569,-0.010498404,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.30595,-0.019815221,61,24.056995,-0.0137122795,98,-0.30273438,0.11720276,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016580008,-0.01048252,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.30595,-0.01821649,61,23.92172,-0.012026623,98,-0.30273438,0.11720276,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.0165624,-0.010474518,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.11063,-0.014041856,61,23.94427,-0.007947251,98,-0.19532013,0.107406616,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016543603,-0.01046501,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.11063,-0.01356715,61,24.03445,-0.0075928643,98,-0.19532013,0.107406616,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016512953,-0.010443811,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.11063,-0.016740046,61,23.966816,-0.01080548,98,-0.19532013,0.107406616,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016476152,-0.0104169,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.94217,-0.019675031,61,23.989363,-0.013621129,98,-0.16845703,0.026855469,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016448116,-0.01039867,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.94217,-0.018121809,61,24.011908,-0.011980288,98,-0.16845703,0.026855469,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016429178,-0.0103894025,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.94217,-0.013953276,61,23.92172,-0.0079055205,98,-0.16845703,0.026855469,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016411463,-0.010381057,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.94217,-0.013416722,61,24.011908,-0.0074905828,98,-0.16845703,0.026855469,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016381377,-0.0103606,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.739525,-0.016538657,61,24.011908,-0.010655098,98,-0.20264435,-0.034179688,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.0163411,-0.010330523,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.739525,-0.019522928,61,23.94427,-0.013520904,98,-0.20264435,-0.034179688,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016310679,-0.0103104785,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.739525,-0.018025137,61,24.011908,-0.011936143,98,-0.20264435,-0.034179688,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016291345,-0.01030165,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.48806,-0.013859287,61,23.966816,-0.007863097,98,-0.25146484,-0.048812866,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016272547,-0.010293165,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.48806,-0.013256595,61,23.94427,-0.0073839203,98,-0.25146484,-0.048812866,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.01624052,-0.010271832,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.48806,-0.016339704,61,24.079538,-0.010513008,98,-0.25146484,-0.048812866,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.01620073,-0.010243415,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.2195,-0.019372635,61,23.966816,-0.013428368,98,-0.26856232,-0.017105103,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016170671,-0.010224908,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.2195,-0.017906763,61,23.94427,-0.011876285,98,-0.26856232,-0.017105103,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016146997,-0.0102129355,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
81.2195,-0.013745785,61,24.011908,-0.0078064576,98,-0.26856232,-0.017105103,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016124297,-0.010201608,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
